mainshock_name,mainshock_time,mainshock_magnitude,aftershock_time,aftershock_magnitude,aftershock_place,aftershock_latitude,aftershock_longitude
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-05 09:52:38.051,4.9,"49 km ENE of Bacolod, Philippines",9.1304,126.6893
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-05 10:23:56.275,4.5,"75 km ENE of Aras-asan, Philippines",9.1074,126.9573
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-05 10:26:18.712,4.5,"24 km ENE of Aras-asan, Philippines",8.9322,126.5319
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-05 10:45:47.072,4.7,"76 km E of Aras-asan, Philippines",8.8674,127.0049
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-05 10:48:07.755,4.5,"71 km ENE of Hinatuan, Philippines",8.6345,126.931
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-05 11:00:25.505,4.5,"53 km E of Aras-asan, Philippines",8.8446,126.7958
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-05 12:33:59.292,4.6,"29 km E of Marihatag, Philippines",8.7637,126.5614
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-05 13:32:26.546,4.5,"44 km E of Marihatag, Philippines",8.7596,126.6992
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-05 13:36:36.285,5.8,"60 km ENE of Bacolod, Philippines",9.1609,126.785
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-05 15:36:35.373,4.5,"85 km E of Aras-asan, Philippines",8.7532,127.0767
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-05 17:15:44.198,4.3,"106 km E of Aras-asan, Philippines",9.0511,127.2633
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-05 17:17:24.327,4.1,"85 km ENE of Aras-asan, Philippines",9.0794,127.0628
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-05 17:33:21.898,4.8,"36 km ENE of Aras-asan, Philippines",8.9566,126.638
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-05 17:36:56.900,4.4,"43 km E of Aras-asan, Philippines",8.9238,126.7087
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-05 18:09:44.717,4.6,"71 km ENE of Aras-asan, Philippines",9.0281,126.9413
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-05 18:35:05.332,4.5,"40 km E of Aras-asan, Philippines",8.9477,126.6742
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-05 20:29:38.408,4.5,"37 km ESE of Aras-asan, Philippines",8.8148,126.6416
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-05 22:23:28.430,4.4,"50 km ENE of La Paz, Philippines",9.1669,126.6828
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-06 01:02:08.113,4.2,"112 km E of Aras-asan, Philippines",8.7985,127.3267
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-06 02:26:22.001,4.1,"112 km E of Aras-asan, Philippines",8.9613,127.3348
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-06 04:00:19.898,4.6,"40 km E of Cortes, Philippines",9.2212,126.5551
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-06 08:33:04.427,4.9,"30 km ESE of Aras-asan, Philippines",8.8178,126.5838
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-06 13:19:22.398,4.6,"99 km ENE of Barcelona, Philippines",8.6399,127.193
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-06 16:29:56.634,4.2,"88 km E of Aras-asan, Philippines",8.9303,127.1137
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-06 16:32:53.281,4.3,"85 km ENE of Aras-asan, Philippines",9.0709,127.0694
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-06 17:15:04.831,4.4,"23 km ENE of Bacolod, Philippines",9.0353,126.4783
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-06 17:25:46.324,4.5,"41 km ESE of Aras-asan, Philippines",8.8083,126.6822
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-06 18:04:36.869,4.3,"80 km E of Aras-asan, Philippines",9.0162,127.0302
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-06 19:11:39.643,4.7,"53 km E of Aras-asan, Philippines",8.9319,126.7919
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-06 19:14:45.547,4.7,"65 km ENE of Hinatuan, Philippines",8.6108,126.8801
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-06 19:18:48.331,4.4,"53 km E of Aras-asan, Philippines",8.9349,126.7944
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-06 19:20:30.965,4.5,"108 km E of Aras-asan, Philippines",8.9024,127.2977
"Cagwait, Surigao Del Sur",2023-12-04 03:49:33,6.8,2023-12-06 19:24:22.006,4.5,"43 km E of Aras-asan, Philippines",8.8888,126.71
