mainshock_name,mainshock_time,mainshock_magnitude,aftershock_time,aftershock_magnitude,aftershock_place,aftershock_latitude,aftershock_longitude
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-19 12:30:54.244,4.5,"86 km WNW of Cabra, Philippines",14.1649,119.3041
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-20 05:58:43.712,4.5,"69 km W of Cabra, Philippines",13.9351,119.4044
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-20 11:39:39.822,4.4,"84 km WNW of Cabra, Philippines",14.0901,119.2968
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-20 11:45:35.810,4.6,"88 km W of Cabra, Philippines",14.038,119.2446
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-20 11:54:14.588,4.6,"89 km W of Cabra, Philippines",14.0346,119.2349
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-20 14:44:09.284,4.5,"56 km WNW of Cabra, Philippines",14.0704,119.5642
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-22 23:55:42.918,4.6,"63 km WNW of Cabra, Philippines",14.0389,119.4785
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-23 20:07:11.902,4.6,"76 km WNW of Cabra, Philippines",14.1835,119.4056
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-23 23:33:15.067,4.6,"75 km WNW of Cabra, Philippines",14.1052,119.3867
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-24 20:33:24.561,4.6,"80 km WNW of Cabra, Philippines",14.2462,119.4038
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-24 20:50:38.846,4.6,"81 km WNW of Cabra, Philippines",14.1774,119.3599
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-24 21:06:37.514,4.8,"91 km WNW of Cabra, Philippines",14.1878,119.2593
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-24 22:37:20.557,4.8,"105 km WSW of San Nicolas, Philippines",14.485,119.2198
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-25 00:15:41.463,4.5,"82 km WNW of Cabra, Philippines",14.2558,119.3835
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-25 00:22:16.763,4.6,"69 km WNW of Cabra, Philippines",14.1884,119.4816
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-25 00:59:37.191,4.5,"72 km WNW of Cabra, Philippines",14.2154,119.4691
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-25 02:44:34.568,4.6,"77 km WNW of Cabra, Philippines",14.1194,119.3746
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-25 13:03:08.315,4.2,"63 km WNW of Cabra, Philippines",14.0785,119.4975
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-28 14:23:53.048,4.6,"85 km WNW of Cabra, Philippines",14.1059,119.2946
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-29 16:27:15.030,5.0,"85 km WNW of Cabra, Philippines",14.1022,119.2926
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-31 01:48:49.636,4.6,Philippine Islands region,13.8824,119.3262
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-04-04 12:35:23.787,4.2,"88 km WNW of Cabra, Philippines",14.1288,119.2681
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-04-07 00:36:53.389,4.9,"89 km WNW of Cabra, Philippines",14.2578,119.3144
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-04-07 01:44:03.191,4.2,"97 km W of Cabra, Philippines",13.884,119.1459
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-04-08 05:30:58.309,4.5,"102 km WNW of Cabra, Philippines",14.3571,119.2288
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-04-13 10:53:37.063,4.4,"60 km WNW of Cabra, Philippines",14.0513,119.5189
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-04-16 10:43:03.705,4.6,"79 km WNW of Cabra, Philippines",14.0375,119.3304
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-04-17 15:24:27.509,4.5,"89 km WNW of Cabra, Philippines",14.1505,119.2645
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-04-17 15:52:23.594,4.5,"Luzon, Philippines",14.163,119.3564
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-04-18 09:37:47.408,4.6,"103 km WNW of Cabra, Philippines",14.182,119.1358
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-04-18 12:45:38.403,4.5,"80 km WNW of Cabra, Philippines",14.1655,119.3556
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-04-18 14:23:06.363,4.7,"72 km WNW of Cabra, Philippines",14.1753,119.4419
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-04-18 14:30:04.572,4.8,"81 km WNW of Cabra, Philippines",14.1805,119.3548
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-04-18 15:31:40.595,4.5,"88 km WNW of Cabra, Philippines",14.187,119.2937
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-04-18 16:42:51.134,4.6,"80 km WNW of Cabra, Philippines",14.1949,119.3691
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-04-20 01:37:18.489,4.3,"83 km WNW of Cabra, Philippines",14.1452,119.3188
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-04-22 11:41:23.634,4.6,"74 km WNW of Cabra, Philippines",14.2504,119.4691
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-05-01 16:30:50.010,4.5,"79 km NW of Cabra, Philippines",14.2981,119.4464
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-05-04 23:05:08.560,4.5,"91 km WNW of Cabra, Philippines",14.1619,119.2512
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-05-05 01:00:19.846,4.5,"87 km WNW of Cabra, Philippines",14.2447,119.3264
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-05-05 01:20:05.392,4.5,"83 km WNW of Cabra, Philippines",14.1983,119.3494
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-05-05 11:06:53.781,4.7,"60 km W of Cabra, Philippines",13.9474,119.4961
