time,latitude,longitude,depth,mag,magType,place
2021-06-14T14:49:54.793Z,7.5814,124.9042,10,5.3,mww,"2 km SSW of Kadingilan, Philippines"
2020-12-29T16:21:48.131Z,5.2608,125.2951,35,5.3,mww,"24 km SW of Sarangani, Philippines"
2020-11-12T07:18:25.893Z,10.2155,126.0501,47.71,5.3,mww,"21 km N of Santa Monica, Philippines"
2023-05-24T00:44:07.040Z,5.6719,124.2704,17.872,5.2,mww,"47 km SSW of Maitum, Philippines"
2023-05-07T11:36:21.892Z,17.4838,122.3072,31.537,5.2,mww,"45 km NNW of Dicabisagan, Philippines"
2023-04-28T16:00:29.976Z,13.6644,120.6333,89.364,5.2,mww,"18 km S of Calatagan, Philippines"
2023-04-24T09:32:10.079Z,9.2801,125.406,26.313,5.2,mww,"13 km WSW of Jabonga, Philippines"
2022-12-29T13:13:36.794Z,6.2316,126.1831,140.887,5.2,mww,"14 km S of Pondaguitan, Philippines"
2022-12-18T13:33:47.015Z,15.6711,119.5725,10,5.2,mww,"33 km WSW of Bolitoc, Philippines"
2022-12-07T05:05:27.271Z,14.503,123.0492,10,5.2,mww,"34 km NNE of Sabang Indan, Philippines"
2022-11-08T14:30:00.957Z,15.3099,120.8566,171.948,5.2,mww,"0 km N of San Antonio, Philippines"
2022-11-07T05:34:05.702Z,19.0276,121.1895,38.458,5.2,mww,"46 km N of Namuac, Philippines"
2022-10-24T15:08:33.276Z,11.1043,125.7742,35,5.2,mww,"9 km NE of Guiuan, Philippines"
2022-08-27T18:27:36.197Z,17.2931,120.7624,20.398,5.2,mww,"14 km SSE of San Ramon, Philippines"
2022-07-27T07:38:21.801Z,17.3806,120.804,10,5.2,mb,"8 km SE of Bantay, Philippines"
2022-06-16T06:08:53.556Z,17.1257,119.9561,23.7,5.2,mww,"49 km W of Darapidap, Philippines"
2022-05-17T08:42:20.447Z,19.1785,121.1152,10,5.2,mww,"63 km N of Namuac, Philippines"
2022-03-16T00:09:30.323Z,14.1384,119.2961,10,5.2,mww,"85 km WNW of Cabra, Philippines"
2022-03-14T14:40:47.749Z,14.1448,119.334,10,5.2,mww,"82 km WNW of Cabra, Philippines"
2022-02-26T06:15:53.561Z,5.7048,126.2848,119.18,5.2,mww,"73 km S of Pondaguitan, Philippines"
2022-02-20T21:13:26.078Z,6.0123,126.5855,51.82,5.2,mww,"59 km SE of Pondaguitan, Philippines"
2022-02-12T00:41:07.276Z,20.1251,121.3859,26.22,5.2,mww,"70 km WSW of Basco, Philippines"
2021-11-27T06:01:53.355Z,4.6874,126.2666,79.98,5.2,mww,"Pulau-Pulau Talaud, Indonesia"
2021-07-08T10:09:17.725Z,5.3333,126.4682,24.06,5.2,mww,"111 km E of Sarangani, Philippines"
2021-06-07T21:41:10.852Z,10.2413,126.1873,35,5.2,mww,"29 km NNE of Santa Monica, Philippines"
2021-02-04T07:48:10.728Z,14.632,118.7945,10,5.2,mww,"142 km WSW of San Nicolas, Philippines"
2021-01-24T14:26:45.309Z,8.99,126.504,64.31,5.2,mww,"24 km ENE of Aras-asan, Philippines"
2023-07-26T17:47:57.448Z,4.775,124.963,11.677,5.1,mb,"88 km SW of Sarangani, Philippines"
2023-06-18T17:34:00.248Z,10.2332,126.2476,41.736,5.1,mww,"32 km NE of Santa Monica, Philippines"
2023-05-25T13:48:28.871Z,21.1001,122.0167,10,5.1,mww,"72 km N of Basco, Philippines"
2023-04-13T16:04:27.711Z,9.2273,125.5742,20.399,5.1,mww,"2 km SE of Jagupit, Philippines"
2023-03-28T05:51:28.445Z,18.3383,120.4578,25.13,5.1,mww,"18 km W of Pasuquin, Philippines"
2023-02-16T10:33:58.230Z,14.9737,119.8311,46.506,5.1,mww,"26 km W of San Nicolas, Philippines"
